Countries,ExchangeRate
Afghanistan,71.8424
Albania,96.0258
Algeria,134.4692
Andorra,0.9244
Angola,831.1346
Antigua and Barbuda,2.7026
Argentina,352.9526
Armenia,400.6961
Aruba,1.7964
Australia,1.5389
Austria,0.9244
Azerbaijan,1.7
Bahamas,0.9985
Bahrain,0.3764
Bangladesh,110.3173
Barbados,2.0152
Belarus,3.2896
Belgium,0.9244
Belize,2.0118
Benin,607.2633
Bermuda,1
Bhutan,83.2814
Bolivia,6.8952
Bosnia and Herzegovina,1.8091
Botswana,13.5075
Brazil,4.9007
Brunei,1.3474
Bulgaria,1.8082
Burkina Faso,607.2633
Burma (Myanmar),2096.7733
Burundi,2842.524
Cambodia,4116.6009
Cameroon,606.5662
Canada,1.3708
Cape Verde,102.2203
Central African Republic,606.5662
Chad,606.5662
Chile,885.4602
China,7.2042
Colombia,4031.1156
Comoros,456.0077
Costa Rica,529.9846
Croatia,0.9244
Cuba,23.8095
Cyprus,0.9244
Czechia,22.6161
Democratic Republic of the Congo,2561.9616
Denmark,6.895
Djibouti,177.6931
Dominica,2.7026
Dominican Republic,56.7846
Egypt,30.8677
Equatorial Guinea,606.5662
Eritrea,15.1
Estonia,0.9244
Ethiopia,55.6536
Euro area,0.9244
Faroe Islands,6.895
Fiji,2.262
Finland,0.9244
France,0.9244
Gabon,606.5662
Gambia,66.9033
Georgia,2.7011
Germany,0.9244
Ghana,11.9398
Gibraltar,0.8129
Greece,0.9244
Grenada,2.7026
Guatemala,7.8157
Guinea,8608.4619
Guinea-Bissau,607.2633
Guyana,208.6518
Haiti,132.4511
Holy See (Vatican City),0.9244
Honduras,24.6776
Hong Kong,7.8066
Hungary,350.4654
Iceland,139.8505
India,83.2814
Indonesia,15571.5628
Iran,524383.8613
Iraq,1307.844
Ireland,0.9244
Israel,3.8039
Italy,0.9244
Ivory Coast,607.2633
Jamaica,155.2768
Japan,149.8622
Jordan,0.7093
Kazakhstan,462.9965
Kenya,151.8399
Kiribati,1.5389
Kuwait,0.308
Kyrgyzstan,89.1389
Laos,20696.3587
Latvia,0.9244
Lebanon,98499.9964
Lesotho,18.5849
Liberia,187.8018
Libya,4.8419
Liechtenstein,0.8912
Lithuania,0.9244
Luxembourg,0.9244
Macao,8.0258
North Macedonia,56.9224
Madagascar,4508.5325
Malawi,1432.934
Malaysia,4.6883
Maldives,15.3371
Mali,607.2633
Malta,0.9244
Mauritania,357.05
Mauritius,44.1953
Mexico,17.3737
Moldova,17.8453
Monaco,0.9244
Montenegro,0.9244
Montserrat,2.7026
Morocco,10.157
Mozambique,63.8485
Namibia,17.8563
Nepal,133.0423
Netherlands,0.9244
New Caledonia,108.2251
New Zealand,1.6679
Nicaragua,36.5933
Niger,607.2633
Nigeria,805.315
Norfolk Island,1.5389
North Korea,900.0009
Norway,10.9132
Oman,0.3843
Pakistan,284.5313
Panama,0.9981
Papua New Guinea,3.7481
Paraguay,7433.2195
Peru,3.7671
Philippines,55.7134
Poland,4.0699
Portugal,0.9244
Qatar,3.6409
Republic of the Congo,606.5662
Romania,4.5957
Russia,90.5356
Rwanda,1234.4849
Saint Lucia,2.7026
Saint Vincent and the Grenadines,2.7026
San Marino,0.9244
Sao Tome and Principe,20000.0005
Saudi Arabia,3.7494
Senegal,607.2633
Serbia,108.3651
Seychelles,13.3065
Sierra Leone,19678.6479
Singapore,1.3483
Slovakia,0.9244
Slovenia,0.9244
Solomon Islands,8.4312
Somalia,569.5257
South Africa,18.5371
South Korea,1333.3333
Spain,0.9244
Sri Lanka,327.8141
Sudan,593
Suriname,37.9807
Swaziland,18.5274
Sweden,10.681
Switzerland,0.8912
Syria,7449.9999
Taiwan,31.911
Tajikistan,10.9257
Tanzania,2499.7261
Thailand,35.4798
Togo,607.2633
Tonga,2.3824
Trinidad and Tobago,6.7759
Tunisia,3.1301
Turkey,28.6484
Turkmenistan,3.4993
Tuvalu,1.5389
Uganda,3777.3529
Ukraine,36.1038
United Arab Emirates,3.6729
United Kingdom,0.8048
Uruguay,39.6225
Uzbekistan,12270.5405
Vanuatu,109.4335
Vietnam,24330.1634
Yemen,1239
Zambia,22.9481
